,tweets,labels
0,There are easy solutions to fix some of the FC issues like one reported by a user for Tathawde tata power FC in Pune AC issue of Tigor EV is known SC needs to replace PWM part in most cases Do try to share these information instead of promoting only the negative,not complaint
1,I know atleast of your frustrated customers from mumbai alone Try getting feedback from your Tigor EV customers y,not complaint
2,Your Tigor EV doesnt even deserve star WO,not complaint
3,Dear my new Tigor EV purchased on is in your Showroom at Porvori Goa since almost weeks,complaint
4,Dear my new Tigor EV purchased on is in your Showroom at Porvori Goa since almost weeks now and I am not getting proper feedback as to when my vehicle will be repaired and delivered to me Fault HV Critical Alert Kindly look into it,complaint
5,See slow and fast are relative terms You dont need POWER beyond a point you just want it Tigor EV gives most users the power they need Its wellrounded amp one of the most efficient EVs so far If its easy to make such a car every manufacturerespecially Suzuki would,not complaint
6,Tigor EV is not slow There used to be an older model before Ziptron which I drove once it was slow but not the current one Both Nexon and Tigor are fast,not complaint
7,Senior Tata Motors officials need to look into it on priority Most of the Tigor EV customers are facing serious problems,not complaint
8,I know atleast of your frustrated customers from mumbai alone Try getting feedback from your Tigor EV customers you will hear some very nice eyeopening reviews from them You have consciously looted and harrased me by making false claim about superior quality product,not complaint
9,Your Tigor EV doesnt even deserve star WORST seems to be a hyped word for its quality days since purchase and already replaced AC compressor twice Chargers quality is also same as your car,complaint
10,The point is that you think Tigor EV is slow I clearly stated other EVs are definitely faster a,not complaint
11,Tigor EV is slow moving and charging Indian or not has nothing to do with it Its just that youve made peace with bad value for money,not complaint
12,The point is that you think Tigor EV is slow I clearly stated other EVs are definitely faster and that the comparison is with most other ICE cars in that budget I really dont need to win this just need people to know your comment might not apply to most Indians,not complaint
13,I have Tata Tigor ev in Goa Im without my car for last days I am following up with the team everyday,complaint
14,Government is promoting EVs But infrastructure for EV cars is worst specifically for Tata Tigor EV compatibility T,not complaint
15,I have purchased tigor EV with insurance for business and environment propose but its become headache for me I,not complaint
16,Seriously Did you ever drive a Tigor EV Please dont claim things without knowledge Only vehicles that could catch up at signals with it would be other EVs with a more powerful motor But Tigor is still my choice for the most energy efficient car available in India today,not complaint
17,I have purchased tigor EV with insurance for business and environment propose but its become headache for me I have sent my car for insurance claim on but till date Tata insurance company fails to delivery my car In fact they have retain my car,complaint
18,travelled in tata tigor EV for below locations,not complaint
19,Pathetic service by the Tatas I have purchased Tigor EV months back and within a period of days the battery AC Compr,complaint
20,I have Tata Tigor ev in Goa Im without my car for last day,complaint
21,Pathetic service by the Tatas I have purchased Tigor EV months back and within a period of days the battery AC Compressor and Fan diagnosed as faulty and replaced Later the Shock absorber was also faulty,complaint
22,Inspite of several attempts and messages the issue with the tigor EV is not resolved Seems the Tatas are not concerned about their services post sales of the vehicles,complaint
23,I have Tata Tigor ev in Goa Im without my car for last days I am following up with the team everydayI had mentioned to SP Service center Goa about delay in disconnecting the fast charger that to to minutes,complaint
24,I have Tata Tigor ev in Goa Im without my car for last days I am following up with the team everydayI had mentioned to SP Service center Goa about delay in disconnecting the fast charger that to to minutesbad response from service team,complaint
25,Yes ur partially right Tata already has Nexon ev tigor ev and more coming while they are not grounds up ev They recently bought exford factory and solely will be producing ev Maybe to years we will have more mass market EVs,not complaint
26,If you are a city driver have an additional lacs budget EV is the way to go TATA Nexon EV or TATA TIGOR EV Wait for Tiago EV If you can wait for one more year many EV cars will be in the market At the moment TATA is fantastic for the money you pay,not complaint
27,Facing horrible problem of AC in Tata Tigor EV with no proper solution from the showroom What to do,complaint
28,im using Tigor EV yesterday I sent my car for third free service to Roshan motors service station Malviya Na,not complaint
